,Unit_Price,Quantity,Discount,Total_Price,Cluster,Category
127,1.23,14.0,0.0,17.22,0,Soft Drinks
128,2.1,38.0,0.1,71.82,1,Juices
130,4.35,3.0,0.0,13.05,3,Alcoholic Beverages
131,0.96,9.0,0.0,8.64,0,Soft Drinks
132,1.37,8.0,0.0,10.959999999999999,3,Alcoholic Beverages
133,3.56,2.0,0.0,7.12,1,Juices
134,1.26,13.0,0.0,16.38,2,Water
135,4.35,4.0,0.0,17.4,3,Alcoholic Beverages
136,1.53,3.0,0.0,4.59,0,Soft Drinks
137,0.96,1.0,0.0,0.96,0,Soft Drinks
138,0.57,6.000000000000001,0.0,3.42,2,Water
142,3.04,43.0,0.1,117.65000000000002,1,Juices
143,1.97,36.0,0.05,67.37,0,Soft Drinks
144,2.93,1.0,0.0,2.93,1,Juices
145,3.12,13.0,0.0,40.56,1,Juices
147,0.7,33.0,0.05,21.94,0,Soft Drinks
149,1.21,2.0,0.05,2.3,3,Alcoholic Beverages
150,0.89,2.0,0.0,1.78,2,Water
152,0.96,15.0,0.0,14.4,3,Alcoholic Beverages
153,1.26,10.0,0.0,12.6,2,Water
154,2.05,10.0,0.0,20.5,0,Soft Drinks
155,4.35,14.0,0.0,60.9,3,Alcoholic Beverages
157,1.46,7.0,0.05,9.71,1,Juices
158,0.59,33.0,0.1,17.52,2,Water
159,2.34,50.0,0.05,111.15,0,Soft Drinks
160,0.33,24.0,0.05,7.52,2,Water
161,2.84,33.0,0.05,89.03,1,Juices
164,0.68,34.0,0.05,21.96,2,Water
165,3.11,1.0,0.0,3.11,1,Juices
166,0.96,11.0,0.0,10.56,0,Soft Drinks
167,0.96,9.0,0.0,8.64,2,Water
168,1.86,11.0,0.0,20.46,1,Juices
169,3.11,8.0,0.0,24.88,1,Juices
170,1.27,14.0,0.0,17.78,0,Soft Drinks
171,2.45,14.0,0.0,34.3,1,Juices
173,0.72,50.0,0.1,32.4,2,Water
177,0.53,10.0,0.0,5.299999999999999,0,Soft Drinks
179,0.62,12.0,0.0,7.4399999999999995,2,Water
180,2.31,9.0,0.0,20.79,1,Juices
181,1.99,15.0,0.0,29.85,0,Soft Drinks
182,1.24,7.0,0.0,8.68,0,Soft Drinks
183,0.96,4.0,0.0,3.84,2,Water
184,0.61,1.0,0.0,0.61,0,Soft Drinks
187,1.99,11.0,0.0,21.89,3,Alcoholic Beverages
188,2.45,15.0,0.0,36.75,1,Juices
189,0.59,11.0,0.0,6.49,2,Water
190,2.35,1.0,0.0,2.35,0,Soft Drinks
191,2.26,2.0,0.0,4.52,0,Soft Drinks
192,2.62,32.0,0.05,79.64999999999999,1,Juices
197,0.49,5.0,0.0,2.45,2,Water
198,1.71,11.0,0.0,18.81,2,Water
199,1.31,8.0,0.0,10.48,2,Water
200,4.32,13.0,0.0,56.16,3,Alcoholic Beverages
201,0.91,1.0,0.0,0.9100000000000001,2,Water
202,1.86,2.0,0.0,3.7199999999999998,1,Juices
203,3.31,10.0,0.0,33.1,1,Juices
205,1.59,6.000000000000001,0.0,9.54,1,Juices
206,2.93,2.0,0.0,5.86,1,Juices
207,1.61,9.0,0.0,14.49,2,Water
208,3.23,5.0,0.0,16.15,1,Juices
209,0.56,6.000000000000001,0.0,3.36,2,Water
210,1.33,12.0,0.0,15.96,3,Alcoholic Beverages
211,0.93,1.0,0.0,0.9299999999999999,0,Soft Drinks
212,1.02,4.0,0.0,4.08,3,Alcoholic Beverages
213,1.23,13.0,0.0,15.989999999999998,2,Water
214,1.09,6.000000000000001,0.0,6.54,3,Alcoholic Beverages
215,1.75,4.0,0.0,7.0,1,Juices
217,3.54,43.0,0.1,137.0,3,Alcoholic Beverages
219,2.59,35.0,0.1,81.58,0,Soft Drinks
221,2.12,2.0,0.0,4.24,0,Soft Drinks
222,2.04,14.0,0.0,28.56,3,Alcoholic Beverages
224,0.59,12.0,0.0,7.08,2,Water
225,0.49,4.0,0.0,1.96,2,Water
226,3.67,4.0,0.0,14.68,1,Juices
227,2.19,13.0,0.0,28.47,0,Soft Drinks
228,1.8,10.0,0.0,18.0,1,Juices
229,1.68,3.0,0.0,5.04,0,Soft Drinks
230,2.28,12.0,0.0,27.36,0,Soft Drinks
231,1.75,4.0,0.0,7.0,1,Juices
232,0.93,4.0,0.0,3.7199999999999998,0,Soft Drinks
234,0.93,6.000000000000001,0.0,5.58,2,Water
235,0.53,12.0,0.0,6.36,0,Soft Drinks
236,3.12,7.0,0.0,21.839999999999996,1,Juices
240,1.23,12.0,0.0,14.76,0,Soft Drinks
241,3.31,12.0,0.0,39.72,1,Juices
242,3.46,5.0,0.0,17.3,1,Juices
243,0.59,11.0,0.0,6.49,0,Soft Drinks
244,1.2,8.0,0.0,9.599999999999998,0,Soft Drinks
245,2.31,15.0,0.0,34.65,1,Juices
246,0.86,8.0,0.0,6.88,2,Water
247,0.93,11.0,0.0,10.23,3,Alcoholic Beverages
249,3.12,5.0,0.0,15.6,1,Juices
250,0.54,11.0,0.05,5.64,0,Soft Drinks
252,0.51,32.0,0.05,15.499999999999998,2,Water
255,2.38,11.0,0.0,26.18,1,Juices
256,2.39,39.0,0.05,88.55,0,Soft Drinks
257,2.79,43.0,0.05,113.97,1,Juices
259,1.36,49.0,0.1,59.98,1,Juices
262,1.88,12.0,0.0,22.56,3,Alcoholic Beverages
263,1.24,12.0,0.0,14.879999999999999,0,Soft Drinks
264,1.18,7.0,0.0,8.26,0,Soft Drinks
265,4.35,13.0,0.0,56.55,3,Alcoholic Beverages
267,2.38,12.0,0.0,28.56,1,Juices
268,3.21,10.0,0.0,32.1,1,Juices
269,2.27,6.000000000000001,0.0,13.62,0,Soft Drinks
275,2.26,2.0,0.0,4.52,0,Soft Drinks
276,2.45,14.0,0.0,34.3,1,Juices
277,3.11,6.000000000000001,0.0,18.66,1,Juices
283,2.13,5.0,0.0,10.65,0,Soft Drinks
284,1.49,4.0,0.0,5.960000000000001,0,Soft Drinks
285,0.91,3.0,0.0,2.7299999999999995,2,Water
286,0.49,7.0,0.0,3.43,2,Water
287,4.48,9.0,0.0,40.32,3,Alcoholic Beverages
288,0.65,2.0,0.0,1.3,2,Water
291,1.58,8.0,0.0,12.64,0,Soft Drinks
292,1.1,5.0,0.0,5.5,0,Soft Drinks
293,1.41,1.0,0.0,1.41,3,Alcoholic Beverages
295,4.19,14.0,0.0,58.66,3,Alcoholic Beverages
296,0.47,1.0,0.0,0.47,2,Water
297,0.57,9.0,0.0,5.129999999999999,2,Water
300,0.67,43.0,0.05,27.37,0,Soft Drinks
304,2.76,53.0,0.1,131.65,0,Soft Drinks
306,1.53,10.0,0.0,15.3,0,Soft Drinks
307,2.38,13.0,0.0,30.94,1,Juices
308,0.96,7.0,0.0,6.72,0,Soft Drinks
309,0.96,13.0,0.0,12.48,0,Soft Drinks
311,1.8,2.0,0.0,3.6,1,Juices
312,1.06,5.0,0.05,5.04,2,Water
313,2.13,2.0,0.0,4.26,0,Soft Drinks
314,5.81,6.000000000000001,0.05,33.12,3,Alcoholic Beverages
316,1.99,15.0,0.0,29.85,0,Soft Drinks
317,1.75,13.0,0.0,22.75,1,Juices
318,3.12,5.0,0.0,15.6,1,Juices
319,0.46,13.0,0.0,5.980000000000001,2,Water
320,2.21,14.0,0.0,30.94,0,Soft Drinks
322,1.67,14.0,0.05,22.21,1,Juices
326,0.58,20.0,0.05,11.02,0,Soft Drinks
327,1.36,23.0,0.1,28.15,1,Juices
332,1.41,14.0,0.0,19.74,3,Alcoholic Beverages
333,0.91,1.0,0.0,0.9100000000000001,2,Water
334,0.99,12.0,0.0,11.88,0,Soft Drinks
335,0.56,2.0,0.0,1.12,0,Soft Drinks
339,0.92,13.0,0.05,11.36,3,Alcoholic Beverages
340,1.58,10.0,0.0,15.8,0,Soft Drinks
341,2.04,7.0,0.0,14.28,3,Alcoholic Beverages
342,3.31,13.0,0.0,43.03,1,Juices
343,0.63,10.0,0.0,6.3,0,Soft Drinks
344,2.34,6.000000000000001,0.0,14.04,0,Soft Drinks
346,2.38,15.0,0.0,35.7,1,Juices
347,2.18,5.0,0.0,10.9,3,Alcoholic Beverages
348,3.02,7.0,0.0,21.14,1,Juices
349,0.56,3.0,0.0,1.68,0,Soft Drinks
350,1.72,56.0,0.05,91.5,3,Alcoholic Beverages
351,2.69,23.0,0.05,58.78,0,Soft Drinks
352,1.2,9.0,0.0,10.8,0,Soft Drinks
353,1.92,7.0,0.0,13.44,3,Alcoholic Beverages
354,1.83,29.0,0.1,47.76,1,Juices
355,0.54,37.0,0.05,18.98,2,Water
356,2.4,13.0,0.05,29.64,1,Juices
357,1.22,38.0,0.05,44.04,0,Soft Drinks
359,3.17,9.0,0.05,27.1,3,Alcoholic Beverages
360,2.13,11.0,0.05,22.260000000000005,1,Juices
363,1.75,2.0,0.0,3.5,1,Juices
364,1.99,9.0,0.0,17.91,0,Soft Drinks
365,5.03,4.0,0.0,20.12,3,Alcoholic Beverages
366,3.31,6.000000000000001,0.0,19.86,1,Juices
367,2.26,10.0,0.0,22.600000000000005,0,Soft Drinks
368,2.39,42.0,0.05,95.36000000000001,1,Juices
369,0.54,25.0,0.05,12.82,2,Water
372,0.59,20.0,0.05,11.21,0,Soft Drinks
375,0.59,12.0,0.05,6.73,2,Water
376,0.56,42.0,0.05,22.34,2,Water
381,3.67,10.0,0.0,36.7,1,Juices
382,3.43,9.0,0.0,30.87,1,Juices
383,0.99,9.0,0.0,8.91,2,Water
385,1.94,2.0,0.0,3.8800000000000003,3,Alcoholic Beverages
386,1.26,8.0,0.0,10.08,2,Water
387,1.53,6.000000000000001,0.0,9.18,0,Soft Drinks
388,1.42,14.0,0.0,19.879999999999995,2,Water
389,1.04,15.0,0.0,15.6,2,Water
390,0.57,13.0,0.0,7.41,2,Water
391,2.28,12.0,0.0,27.36,0,Soft Drinks
394,0.4,2.0,0.05,0.76,2,Water
395,1.42,7.0,0.0,9.939999999999998,2,Water
396,0.96,14.0,0.0,13.44,2,Water
397,1.19,8.0,0.0,9.52,0,Soft Drinks
398,3.56,8.0,0.0,28.48,1,Juices
399,0.58,3.0,0.0,1.74,2,Water
400,1.31,9.0,0.0,11.79,2,Water
401,1.63,4.0,0.0,6.52,3,Alcoholic Beverages
402,2.26,12.0,0.0,27.119999999999997,0,Soft Drinks
403,2.45,14.0,0.0,34.3,1,Juices
404,1.38,7.0,0.0,9.660000000000002,2,Water
405,4.07,10.0,0.0,40.7,3,Alcoholic Beverages
406,3.12,9.0,0.0,28.08,0,Soft Drinks
408,3.43,2.0,0.0,6.86,1,Juices
409,1.46,11.0,0.0,16.06,2,Water
410,3.11,4.0,0.0,12.44,1,Juices
411,1.86,15.0,0.0,27.9,1,Juices
415,1.75,8.0,0.0,14.0,1,Juices
416,0.46,7.0,0.0,3.22,2,Water
418,1.19,7.0,0.0,8.33,0,Soft Drinks
419,3.21,2.0,0.0,6.42,1,Juices
420,0.46,15.0,0.0,6.9,2,Water
422,0.56,11.0,0.0,6.16,2,Water
423,4.74,7.0,0.0,33.18,3,Alcoholic Beverages
424,2.31,12.0,0.0,27.719999999999995,1,Juices
425,1.01,9.0,0.0,9.09,2,Water
426,1.04,14.0,0.0,14.560000000000002,0,Soft Drinks
427,1.2,13.0,0.0,15.6,0,Soft Drinks
428,1.16,12.0,0.0,13.92,3,Alcoholic Beverages
429,1.71,4.0,0.0,6.84,2,Water
430,2.45,8.0,0.0,19.6,1,Juices
431,1.46,5.0,0.0,7.3,2,Water
434,0.86,4.0,0.0,3.44,2,Water
435,2.93,3.0,0.0,8.79,1,Juices
436,2.31,9.0,0.0,20.79,1,Juices
437,0.59,12.0,0.0,7.08,0,Soft Drinks
440,0.95,53.0,0.05,47.83,0,Soft Drinks
441,1.52,43.0,0.05,62.09,1,Juices
442,2.38,38.0,0.05,85.92,0,Soft Drinks
444,6.01,16.0,0.05,91.35,3,Alcoholic Beverages
446,2.35,14.0,0.0,32.9,0,Soft Drinks
447,1.71,12.0,0.0,20.519999999999996,2,Water
448,1.1,5.0,0.0,5.5,0,Soft Drinks
449,0.99,4.0,0.0,3.9600000000000004,2,Water
450,3.02,2.0,0.0,6.04,1,Juices
451,3.33,8.0,0.0,26.64,1,Juices
452,1.07,5.0,0.0,5.35,0,Soft Drinks
453,0.96,13.0,0.0,12.48,0,Soft Drinks
454,0.96,2.0,0.0,1.92,2,Water
457,0.99,8.0,0.0,7.920000000000001,2,Water
458,3.31,9.0,0.0,29.79,0,Soft Drinks
459,1.69,4.0,0.0,6.759999999999999,1,Juices
460,1.99,2.0,0.0,3.98,3,Alcoholic Beverages
461,2.45,4.0,0.0,9.8,1,Juices
462,1.05,14.0,0.0,14.7,3,Alcoholic Beverages
463,0.96,11.0,0.0,10.56,2,Water
464,1.04,8.0,0.0,8.32,2,Water
465,3.21,6.000000000000001,0.0,19.26,1,Juices
466,0.64,10.0,0.0,6.4,2,Water
471,1.59,21.0,0.05,31.72,3,Alcoholic Beverages
472,2.93,5.0,0.0,14.65,1,Juices
479,1.6,9.0,0.1,12.96,2,Water
482,1.24,15.0,0.05,17.67,0,Soft Drinks
483,1.52,31.0,0.05,44.76,1,Juices
484,1.27,45.0,0.1,51.43999999999999,1,Juices
486,3.36,46.0,0.1,139.1,1,Juices
487,1.99,13.0,0.0,25.87,0,Soft Drinks
489,3.37,48.0,0.05,153.67,1,Juices
490,4.2,15.0,0.05,59.85,3,Alcoholic Beverages
494,2.38,10.0,0.05,22.61,1,Juices
495,1.19,26.0,0.05,29.39,0,Soft Drinks
497,3.43,14.0,0.0,48.02,1,Juices
498,2.26,3.0,0.0,6.779999999999999,0,Soft Drinks
499,0.58,7.0,0.0,4.06,2,Water
500,1.07,3.0,0.0,3.21,2,Water
501,0.47,11.0,0.0,5.17,2,Water
502,1.64,5.0,0.0,8.2,1,Juices
503,1.04,2.0,0.0,2.08,2,Water
504,0.58,10.0,0.0,5.800000000000001,2,Water
505,1.8,11.0,0.0,19.8,1,Juices
506,0.57,15.0,0.0,8.55,2,Water
507,2.38,7.0,0.0,16.66,1,Juices
508,1.42,9.0,0.0,12.78,2,Water
509,2.28,10.0,0.0,22.8,0,Soft Drinks
510,0.47,4.0,0.0,1.88,2,Water
511,3.33,4.0,0.0,13.32,1,Juices
512,0.96,8.0,0.0,7.68,3,Alcoholic Beverages
513,3.02,6.000000000000001,0.0,18.12,1,Juices
514,2.19,11.0,0.0,24.09,0,Soft Drinks
515,1.19,3.0,0.0,3.57,0,Soft Drinks
517,3.02,11.0,0.0,33.22,1,Juices
518,0.93,5.0,0.0,4.65,0,Soft Drinks
519,1.38,7.0,0.0,9.660000000000002,2,Water
520,1.59,10.0,0.0,15.9,1,Juices
521,3.12,9.0,0.0,28.08,1,Juices
522,2.18,18.0,0.05,37.28,1,Juices
523,0.85,17.0,0.05,13.730000000000002,0,Soft Drinks
524,2.03,10.0,0.05,19.279999999999998,1,Juices
525,2.9900000000000007,39.0,0.1,104.95,1,Juices
528,1.46,13.0,0.0,18.98,2,Water
529,1.58,3.0,0.0,4.74,0,Soft Drinks
531,3.31,12.0,0.0,39.72,1,Juices
532,0.99,15.0,0.0,14.85,3,Alcoholic Beverages
538,3.21,13.0,0.0,41.73,0,Soft Drinks
539,1.19,14.0,0.0,16.66,0,Soft Drinks
540,1.8,9.0,0.0,16.2,1,Juices
541,3.02,12.0,0.0,36.24,1,Juices
542,2.38,2.0,0.0,4.76,1,Juices
543,3.21,12.0,0.0,38.52,1,Juices
544,1.59,3.0,0.0,4.77,3,Alcoholic Beverages
545,0.99,9.0,0.0,8.91,2,Water
547,3.43,9.0,0.0,30.87,1,Juices
549,3.63,11.0,0.05,37.93,1,Juices
551,3.22,27.0,0.05,82.59000000000002,1,Juices
552,5.03,7.0,0.0,35.21,3,Alcoholic Beverages
553,0.63,4.0,0.0,2.52,0,Soft Drinks
554,1.86,5.0,0.0,9.3,1,Juices
555,1.86,5.0,0.0,9.3,1,Juices
556,4.32,5.0,0.0,21.6,3,Alcoholic Beverages
557,4.48,3.0,0.0,13.44,3,Alcoholic Beverages
560,1.15,17.0,0.05,18.57,0,Soft Drinks
561,0.73,13.0,0.1,8.54,2,Water
563,1.46,13.0,0.0,18.98,2,Water
564,3.67,3.0,0.0,11.01,1,Juices
565,0.99,1.0,0.0,0.9900000000000001,2,Water
566,3.7,30.0,0.05,105.45,0,Soft Drinks
570,1.37,12.0,0.0,16.44,3,Alcoholic Beverages
571,0.57,8.0,0.0,4.56,2,Water
572,0.46,5.0,0.0,2.3,2,Water
573,0.99,20.0,0.05,18.81,3,Alcoholic Beverages
574,3.02,18.0,0.1,48.92,1,Juices
575,0.55,12.0,0.0,6.599999999999999,2,Water
576,1.54,8.0,0.0,12.32,3,Alcoholic Beverages
577,1.04,13.0,0.0,13.519999999999998,0,Soft Drinks
579,1.66,13.0,0.0,21.58,2,Water
580,2.27,12.0,0.0,27.24,0,Soft Drinks
582,0.6,26.0,0.05,14.82,0,Soft Drinks
583,1.95,26.0,0.05,48.16,3,Alcoholic Beverages
584,1.8,15.0,0.0,27.0,1,Juices
585,0.55,9.0,0.0,4.95,0,Soft Drinks
586,3.21,13.0,0.0,41.73,1,Juices
587,1.24,4.0,0.0,4.96,0,Soft Drinks
589,1.31,17.0,0.1,20.04,3,Alcoholic Beverages
590,1.63,7.0,0.0,11.409999999999998,3,Alcoholic Beverages
591,3.11,7.0,0.0,21.77,1,Juices
592,0.99,14.0,0.0,13.859999999999998,0,Soft Drinks
593,1.58,3.0,0.0,4.74,0,Soft Drinks
594,2.34,4.0,0.0,9.36,0,Soft Drinks
596,1.84,14.0,0.05,24.47,1,Juices
600,0.53,32.0,0.05,16.11,0,Soft Drinks
601,0.53,10.0,0.0,5.299999999999999,0,Soft Drinks
602,1.2,11.0,0.0,13.199999999999998,0,Soft Drinks
603,0.93,3.0,0.0,2.79,3,Alcoholic Beverages
604,0.86,5.0,0.0,4.3,2,Water
607,1.44,11.0,0.05,15.050000000000002,1,Juices
609,1.75,14.0,0.0,24.5,1,Juices
610,0.59,15.0,0.0,8.85,0,Soft Drinks
611,2.13,7.0,0.0,14.91,0,Soft Drinks
612,1.58,15.0,0.0,23.7,0,Soft Drinks
613,0.58,13.0,0.0,7.54,2,Water
614,2.26,5.0,0.0,11.300000000000002,0,Soft Drinks
616,3.71,5.0,0.05,17.62,1,Juices
621,1.99,36.0,0.05,68.06,0,Soft Drinks
622,3.23,7.0,0.0,22.61,1,Juices
623,1.16,8.0,0.0,9.28,0,Soft Drinks
624,2.22,10.0,0.0,22.2,0,Soft Drinks
625,2.12,12.0,0.0,25.44,0,Soft Drinks
626,1.69,9.0,0.0,15.21,1,Juices
627,0.58,10.0,0.0,5.800000000000001,2,Water
628,0.99,5.0,0.0,4.95,0,Soft Drinks
629,2.27,2.0,0.0,4.54,0,Soft Drinks
630,0.96,6.000000000000001,0.0,5.76,0,Soft Drinks
631,0.55,2.0,0.0,1.1,2,Water
632,1.75,7.0,0.0,12.25,1,Juices
633,0.56,9.0,0.0,5.04,2,Water
634,4.88,1.0,0.0,4.88,3,Alcoholic Beverages
635,0.93,11.0,0.0,10.23,2,Water
636,3.46,7.0,0.0,24.22,1,Juices
637,0.55,2.0,0.0,1.1,2,Water
638,1.23,8.0,0.0,9.84,2,Water
639,1.59,8.0,0.0,12.72,1,Juices
640,3.12,12.0,0.0,37.44,0,Soft Drinks
641,0.6,16.0,0.05,9.12,0,Soft Drinks
642,0.54,38.0,0.05,19.49,2,Water
645,2.13,4.0,0.0,8.52,0,Soft Drinks
646,3.23,11.0,0.0,35.53,1,Juices
647,2.31,6.000000000000001,0.0,13.859999999999998,1,Juices
648,1.33,9.0,0.0,11.97,3,Alcoholic Beverages
649,0.93,11.0,0.0,10.23,0,Soft Drinks
652,1.18,16.0,0.05,17.94,2,Water
654,0.71,39.0,0.1,24.92,0,Soft Drinks
655,0.47,15.0,0.0,7.05,2,Water
656,3.21,15.0,0.0,48.15,1,Juices
658,1.24,2.0,0.0,2.48,0,Soft Drinks
659,1.04,13.0,0.0,13.519999999999998,2,Water
660,3.23,2.0,0.0,6.460000000000001,1,Juices
661,1.59,8.0,0.0,12.72,1,Juices
662,0.96,10.0,0.0,9.599999999999998,2,Water
663,2.38,11.0,0.0,26.18,1,Juices
665,2.41,14.0,0.05,32.05,1,Juices
667,1.31,7.0,0.0,9.17,2,Water
668,3.31,10.0,0.0,33.1,0,Soft Drinks
669,1.63,11.0,0.0,17.93,3,Alcoholic Beverages
670,2.45,9.0,0.0,22.05,1,Juices
671,1.41,5.0,0.0,7.05,3,Alcoholic Beverages
673,1.72,35.0,0.05,57.19,0,Soft Drinks
674,0.93,7.0,0.0,6.51,0,Soft Drinks
675,1.02,3.0,0.0,3.0599999999999996,3,Alcoholic Beverages
676,1.61,9.0,0.0,14.49,2,Water
677,2.34,3.0,0.0,7.02,0,Soft Drinks
678,0.58,10.0,0.0,5.800000000000001,2,Water
679,3.67,11.0,0.0,40.37,1,Juices
680,1.71,9.0,0.0,15.390000000000002,2,Water
681,3.12,13.0,0.0,40.56,1,Juices
682,2.93,7.0,0.0,20.51,1,Juices
683,1.59,14.0,0.0,22.260000000000005,1,Juices
684,0.86,12.0,0.0,10.320000000000002,2,Water
685,1.02,13.0,0.0,13.26,3,Alcoholic Beverages
686,0.99,9.0,0.0,8.91,0,Soft Drinks
687,0.91,3.0,0.0,2.7299999999999995,2,Water
689,3.03,44.0,0.05,126.65,1,Juices
690,1.88,14.0,0.0,26.32,3,Alcoholic Beverages
691,0.46,2.0,0.0,0.92,2,Water
692,1.38,5.0,0.0,6.9,2,Water
695,1.07,30.0,0.05,30.5,2,Water
698,0.85,1.0,0.1,0.76,0,Soft Drinks
701,0.35,48.0,0.1,15.12,2,Water
702,2.03,2.0,0.05,3.86,1,Juices
703,0.39,2.0,0.05,0.74,2,Water
704,0.84,35.0,0.1,26.46,0,Soft Drinks
706,0.57,47.0,0.1,24.11,2,Water
708,0.41,42.0,0.1,15.499999999999998,2,Water
709,0.68,11.0,0.1,6.73,0,Soft Drinks
710,1.25,14.0,0.1,15.75,3,Alcoholic Beverages
711,2.28,15.0,0.0,34.2,0,Soft Drinks
712,0.57,7.0,0.0,3.99,2,Water
713,1.77,29.0,0.05,48.76,0,Soft Drinks
714,2.61,40.0,0.05,99.18,1,Juices
715,2.07,55.0,0.05,108.15999999999998,0,Soft Drinks
716,3.12,3.0,0.0,9.36,1,Juices
717,2.31,9.0,0.0,20.79,1,Juices
722,2.05,13.0,0.0,26.65,0,Soft Drinks
723,1.59,13.0,0.0,20.67,3,Alcoholic Beverages
724,2.38,6.000000000000001,0.0,14.28,1,Juices
725,1.66,14.0,0.0,23.24,2,Water
726,0.86,2.0,0.0,1.72,2,Water
728,3.17,35.0,0.1,99.86,1,Juices
729,1.06,40.0,0.1,38.16,2,Water
731,2.37,52.0,0.05,117.08,3,Alcoholic Beverages
732,2.71,23.0,0.05,59.21,1,Juices
733,0.73,6.000000000000001,0.05,4.16,2,Water
736,0.55,10.0,0.0,5.5,0,Soft Drinks
